startup_stage,industry,region,requested_amount,pre_money_valuation,team_size,founders_experience_years,annual_revenue,market_size_estimate,investment_amount,is_rejected
Idea,AI/SaaS,US,841149.0507299093,4103053.372606855,5,1,0.0,4480552.244861631,0.0,1
Pre-Seed,HealthTech,Asia,1270532.331182466,5886701.812161256,3,6,0.0,4816665.816522775,1497545.7207505612,0
Series A,AI/SaaS,Asia,5329493.76775809,23205475.27931986,9,6,435337.05416535225,11458170.633795485,5127709.347174217,0
Pre-Seed,ClimateTech,Europe,320710.3647863284,1851066.546367539,4,3,0.0,38840444.20839904,170682.64926591606,0
Idea,E-commerce,LATAM,970330.3533631276,4591139.031358664,6,2,0.0,8899012.63762786,0.0,1
Seed,HealthTech,US,3365727.511522592,19954987.481918942,9,9,631136.761073326,11125980.246590609,2434373.293830776,0
Series A,HealthTech,US,2564457.508828571,11036072.728711132,14,7,469079.3164196453,32237993.82884106,1731038.3467803132,0
Seed,E-commerce,Europe,2869281.7609817777,12030853.37306508,11,6,767590.6324454034,6394619.729287464,0.0,1
Seed,EdTech,Europe,3948382.1914464487,24318820.55646138,5,7,208224.8259169963,1669418.301226692,0.0,1
Pre-Seed,HealthTech,LATAM,3423434.6237342395,22047432.66620997,7,5,0.0,9494130.73847323,0.0,1
Pre-Seed,ClimateTech,US,599554.3238237629,4128371.939924274,6,5,0.0,5148036.403725373,349101.52050447575,0
Seed,FinTech,Europe,1916983.0118075104,8027428.388732597,7,7,27832.33681515022,17450157.253330335,1181534.0173929553,0
Pre-Seed,FinTech,Europe,469971.7120146645,2782971.123689844,6,4,0.0,19405116.011193678,0.0,1
Idea,FinTech,US,420669.0909601638,1850446.5741034297,4,3,0.0,34200402.52445571,0.0,1
Idea,E-commerce,Asia,177159.63156781832,571533.5093834511,4,8,0.0,7090192.498253803,122485.5030758051,0
Idea,E-commerce,Europe,1873331.9338303409,14173308.624413265,5,5,0.0,4507185.416461577,2088305.141852168,0
Series A,HealthTech,US,2059091.9873762128,7346403.603148596,11,8,3782936.847818103,14891494.3610501,1336504.9526810106,0
Idea,EdTech,LATAM,1550470.9569635272,9365525.62087608,6,3,0.0,45899381.19715312,0.0,1
Pre-Seed,HealthTech,Asia,981218.1003919294,4210624.641793687,8,6,0.0,3682117.2196140634,1106570.5642109977,0
Seed,ClimateTech,LATAM,2789495.4424588885,16763966.53995765,10,3,191841.19416913769,1596484.515594567,0.0,1
Idea,HealthTech,Europe,851782.1419930927,2722773.3193801944,6,3,0.0,23294039.2135236,906586.568082341,0
Series A,ClimateTech,LATAM,6940823.853869385,29016687.888379257,11,5,1161777.0749724628,12952889.713731589,3618463.2181351497,0
Series A,E-commerce,Europe,2248543.1771944137,10987328.18564526,9,3,2638586.522880577,17989733.74336523,0.0,1
Seed,EdTech,Europe,5758495.80780006,29704035.860202607,10,5,334649.2047545374,9839272.986663137,3289527.6632245136,0
Pre-Seed,EdTech,Asia,1119764.8320706952,8495631.21935765,8,0,0.0,8823838.655004296,0.0,1
Series A,HealthTech,Europe,5439159.045256158,31862938.7873355,12,5,227949.039716762,2624937.3143208683,3307301.8739518644,0
Seed,AI/SaaS,Europe,3465666.139584022,16795146.306107823,13,4,46546.53715718579,60122975.70856829,0.0,1
Idea,ClimateTech,Asia,389623.8482360038,3048859.037633956,5,2,0.0,5481075.236005978,0.0,1
Seed,ClimateTech,US,1307776.288471857,4993455.673151938,10,8,165501.27208367485,1492161.165820878,1338282.2185394787,0
Seed,FinTech,US,3206794.0360916406,10688550.969797874,4,6,321387.5613491326,20655995.46829573,0.0,1
Seed,ClimateTech,US,923592.922879396,6206296.422750633,7,6,1178935.11539083,6226282.190006521,610010.9377776645,0
Series A,HealthTech,US,10063787.82217939,66228734.72052411,14,9,373165.8029809157,6250103.427075028,9209110.916553184,0
Idea,EdTech,Asia,390105.9828011063,1304751.472658389,7,1,0.0,6828264.053826859,245932.4142685475,0
Series A,FinTech,Asia,2853195.5446270094,15961318.798756242,7,3,2253877.463599536,3954309.282426451,3263767.3348278184,0
Pre-Seed,HealthTech,Europe,311281.5693144744,2363334.8485604213,6,4,0.0,9493565.084720096,325708.53473894723,0
Pre-Seed,HealthTech,US,486415.4144665685,3796643.327416813,8,2,0.0,8891081.85930228,0.0,1
Idea,AI/SaaS,US,664510.7817368447,4977366.13480241,3,1,0.0,5737377.870905445,0.0,1
Idea,E-commerce,Europe,3258966.2627202976,17616145.754143223,8,3,0.0,9701451.88705095,3676769.9314774447,0
Seed,FinTech,US,1743220.2710954172,6590702.678850971,10,2,1160895.5319691573,9616554.727967946,1668126.308507925,0
Pre-Seed,HealthTech,Asia,904928.5029074526,7188429.790904598,9,5,0.0,12437910.559927829,0.0,1
Series A,ClimateTech,US,4982489.860923462,25446187.33512712,8,9,84553.76408835477,5746274.053452319,0.0,1
Series A,FinTech,Asia,7829608.4762286525,54801592.88729165,10,4,261910.4120600656,6359660.623404196,0.0,1
Series B,HealthTech,LATAM,15019811.514294744,106834708.39734104,15,7,425950.6595573007,5299020.290263303,15207997.8106373,0
Pre-Seed,ClimateTech,Europe,273276.9031882441,1528871.827110951,4,2,0.0,10318133.214442035,211108.30147523212,0
Pre-Seed,EdTech,Europe,584250.3005333839,2620718.1598393247,5,4,0.0,72995302.80240642,535497.2721633775,0
Idea,E-commerce,LATAM,773156.5056100398,4152767.818953557,2,5,0.0,19551805.11651669,0.0,1
Series A,FinTech,US,2615646.8777105245,10268152.469522277,13,10,550299.5017076092,12530729.87413252,2347704.357159161,0
Series B,E-commerce,US,8025578.804168921,53411176.82751341,12,9,558080.025052469,20077485.004788,6490466.260582452,0
Seed,FinTech,Europe,1914403.3721248093,12076584.608164528,9,5,1806173.670461892,6261106.371727258,0.0,1
Idea,E-commerce,US,259261.53764063792,1772296.6901627835,3,7,0.0,1217500.7339000478,193988.68893029084,0
Pre-Seed,EdTech,Europe,325439.7658409886,2457622.0185704646,8,1,0.0,4144251.135256796,0.0,1
Series A,ClimateTech,US,3270849.810892158,16641769.440218143,15,8,251378.5816282023,5397722.0441645,2437069.901859926,0
Idea,FinTech,Europe,403202.1033073941,2413717.121196614,1,7,0.0,10240902.55134806,0.0,1
Series A,AI/SaaS,Asia,2582310.4959883187,19222048.96264058,10,8,472354.6293346933,37342636.10050272,1689162.2233988787,0
Seed,ClimateTech,LATAM,3742432.4208511272,21917909.916984264,9,8,101138.9825553528,4906093.290998063,0.0,1
Idea,AI/SaaS,Asia,529159.1622747402,2474133.547735412,5,5,0.0,17093385.891863193,0.0,1
Seed,HealthTech,Europe,699013.167207662,3984323.954228047,8,9,405265.4276043232,20976333.833644982,634367.9556596222,0
Pre-Seed,HealthTech,US,483251.310953552,3509406.4405295146,11,4,0.0,4916466.202261027,0.0,1
Pre-Seed,HealthTech,US,1593849.0058458757,5595953.013300754,6,7,0.0,2028043.4173685196,1605158.7525136934,0
Series A,AI/SaaS,US,2667036.774553003,16691207.263827486,12,10,346499.43269451254,10398965.996561067,2232484.860753748,0
Idea,FinTech,Europe,977085.8771510272,4140596.604706332,2,4,0.0,11445885.271457575,0.0,1
Idea,ClimateTech,US,433398.4415463793,2600435.1768926904,1,4,0.0,4099678.383285551,516031.84195105295,0
Idea,E-commerce,Europe,575289.8308128281,3746474.262719764,4,2,0.0,9079309.225489983,0.0,1
Idea,EdTech,US,925887.9172003082,6580473.975403725,3,3,0.0,10516482.87710753,0.0,1
Seed,FinTech,Europe,3671854.385154749,27005922.13727152,10,8,614349.3272540653,6611907.2251607925,2471056.1579476283,0
Pre-Seed,ClimateTech,Europe,1143995.3619836625,5313958.200309596,10,3,0.0,7547866.777047755,1095128.5859058958,0
Pre-Seed,FinTech,Europe,876710.3200170104,3596972.03212084,5,5,0.0,12077263.652502917,0.0,1
Series A,EdTech,US,8162696.914346732,59874667.3332409,7,12,3614085.439815,13193358.922561793,5438644.372939226,0
Series B,ClimateTech,Asia,8328838.799217354,45487030.95155178,14,9,449405.1188301607,6112454.927723346,0.0,1
Seed,AI/SaaS,Asia,2527023.579145641,13166100.81296876,7,6,46210.48314157771,27333802.996421423,2207249.840064224,0
Series A,EdTech,US,1288857.5914001584,9435830.68023138,14,4,4908132.02133748,3302289.862876788,724323.6715909797,0
Idea,AI/SaaS,US,924031.5323852184,3457463.5736752925,6,4,0.0,11724494.76213118,661191.6492496685,0
Series A,HealthTech,Europe,3008800.004413057,20020998.6493226,10,7,952723.8944942296,5876562.321395283,3123024.749366021,0
Idea,FinTech,Europe,279949.5927213821,1762122.3733724898,6,3,0.0,8441658.252816906,0.0,1
Series A,ClimateTech,US,4991668.935253415,17698202.602870405,13,11,977590.05957386,1766225.887032387,4580055.078696933,0
Seed,AI/SaaS,US,4197420.119513412,14128430.574000413,12,6,893555.9851766721,3522229.1203150544,3803369.082523104,0
Seed,AI/SaaS,Asia,678095.1548195048,4790693.916262209,8,4,481774.62960896536,2293603.1080420217,484907.8628485718,0
Series A,AI/SaaS,Europe,3701724.839411636,12764034.747811813,9,9,2320497.5892192423,7920171.228131105,3964636.331169118,0
Pre-Seed,ClimateTech,Europe,1730981.2208264244,13427250.25643537,9,7,0.0,12081395.218690332,1811243.116897308,0
Pre-Seed,AI/SaaS,Asia,2037103.749129905,13920101.683940666,8,3,0.0,8333488.908698862,0.0,1
Pre-Seed,ClimateTech,Europe,2131086.3971395986,12862108.40188568,3,6,0.0,11008750.114378298,2136027.184478136,0
Seed,EdTech,Asia,625084.6541872389,4705402.220918544,11,7,1123205.4174517414,7482323.987501639,343141.5485937674,0
Seed,E-commerce,Europe,921079.456526944,4867253.931261063,10,3,321537.3221394329,9729957.153610218,834804.2508633202,0
Idea,ClimateTech,US,297313.5318108584,1688484.7019962056,6,3,0.0,21275103.482951656,0.0,1
Pre-Seed,EdTech,LATAM,1518524.206004869,4707625.149171774,8,3,0.0,16375172.320131354,0.0,1
Series A,ClimateTech,Asia,6509825.79510328,20706466.274814077,12,6,161982.8399702257,1587526.2191903505,5604801.165847571,0
Series B,AI/SaaS,Europe,1718584.222029433,9462120.852172954,15,9,1327178.5430223406,9783232.479202472,1435959.7953211812,0
Pre-Seed,E-commerce,US,1211894.0441976516,8635961.609084247,6,4,0.0,10783129.217200875,0.0,1
Series A,ClimateTech,US,2011679.408704876,12480723.735207222,12,5,135416.92986121372,5660828.276396796,1432904.3630260034,0
Idea,EdTech,Europe,446134.33547394775,2750841.1715744147,3,4,0.0,4903049.898058705,0.0,1
Seed,ClimateTech,US,508494.0530711649,1975212.4660654245,14,6,120534.4585981568,14125883.635974992,369395.64542064286,0
Series A,ClimateTech,LATAM,1977359.2837466104,11349641.764435733,10,5,410719.6848299068,34947824.691267945,1534694.5740270964,0
Seed,ClimateTech,LATAM,2745659.400146856,19341570.600766134,9,6,126048.91912875231,1576193.9879058297,3082204.870565497,0
Seed,ClimateTech,US,2109692.3479836527,13504433.747359842,12,3,84628.03646850139,4084495.463868809,2198842.612941845,0
Seed,EdTech,US,4736569.813666866,33879131.61808752,4,2,840418.6035722882,9137362.189933458,0.0,1
Pre-Seed,FinTech,US,790939.6375344027,4805009.582701299,6,6,0.0,9300795.572712785,0.0,1
Series A,EdTech,US,4785790.513294525,15403919.25703036,11,5,196872.2180066465,10516500.177408136,2435490.816561064,0
Series B,HealthTech,Asia,9934386.245412135,72589069.95665452,14,10,288557.3133696622,12234254.991239429,6451966.1892071925,0
Seed,EdTech,Europe,1256763.3125604703,7177609.070518751,9,8,4389958.337732341,17240358.41222754,0.0,1
Idea,HealthTech,Europe,310931.5355279929,1416182.654820602,6,8,0.0,14176681.65054001,0.0,1
Series A,EdTech,US,2885516.5530319577,21304501.08151262,9,9,106186.89427464346,24399355.664978538,1630586.4978566554,0
Seed,EdTech,Europe,1360846.1206568617,5616475.641062979,9,5,968420.5136971152,2851091.185695302,1342870.6414183462,0
Series A,HealthTech,Europe,4218676.45669635,21941315.114769813,13,4,2217879.310853139,14718994.31065278,0.0,1
Series B,ClimateTech,US,6638924.820368401,25833798.09523081,17,15,431435.53826448513,13564939.94197122,5465249.015853046,0
Seed,ClimateTech,Europe,910738.3211952852,3099249.4002106674,8,7,700274.3451902397,23713298.78993172,0.0,1
Idea,EdTech,US,1106218.867922339,8710559.033821955,3,4,0.0,20633900.704681925,797177.4506076825,0
Series A,E-commerce,Asia,16460282.067053376,51176942.53408903,11,7,532822.35056309,3655269.5113507328,13575662.747198338,0
Series B,EdTech,US,10321109.5901877,36851304.268597305,12,7,378684.7612524971,12038081.55342328,8471674.597623263,0
Seed,ClimateTech,US,7046582.946261383,44541024.99611808,8,8,282504.9932157194,1612818.0877895553,0.0,1
Seed,EdTech,Asia,1932696.3434962733,10817164.788123464,9,6,252911.19000420277,8462585.162131568,0.0,1
Seed,EdTech,Asia,1184580.2915579705,5756661.415678379,4,3,115346.25305963765,7231577.973741368,0.0,1
Pre-Seed,FinTech,US,594951.1213508812,4507022.675731768,4,7,0.0,9763651.074167438,374198.9029551852,0
Series A,EdTech,Asia,8005153.646514676,62750633.38219503,9,8,206218.57122624983,11885583.493820349,4523883.159803102,0
Idea,EdTech,Asia,681530.4478235807,2683226.074412308,4,7,0.0,8261070.225493267,0.0,1
Pre-Seed,HealthTech,US,206657.45411080887,736675.1418792248,7,7,0.0,6154703.530365262,0.0,1
Series A,AI/SaaS,Europe,5146623.535488921,23805810.49298044,9,6,1932796.4728933864,19975893.92575045,3673235.147770873,0
Pre-Seed,AI/SaaS,Asia,2750852.6687190235,20681018.256641194,5,4,0.0,6560228.969047319,1812017.6496208897,0
Pre-Seed,E-commerce,US,446763.7732864059,3522286.3224233324,6,5,0.0,4180526.221320753,0.0,1
Series A,FinTech,Asia,4074884.961671431,23617723.685734123,11,6,89179.5840599721,13560102.883595385,0.0,1
Idea,FinTech,US,1156886.045600999,8632119.67956637,8,1,0.0,15989514.801030112,1050411.7891527794,0
Series B,HealthTech,Europe,4404912.926338766,27725074.1172965,11,6,318323.25289292407,3626076.878446677,2710683.303279563,0
Pre-Seed,ClimateTech,Europe,917948.3631062036,5469582.297286997,4,4,0.0,16622972.710832568,0.0,1
Seed,FinTech,Europe,1282273.775102856,5477819.588910861,9,3,261176.72215347967,1699281.7484758007,1189367.9747985697,0
Pre-Seed,FinTech,Europe,798433.1035684239,5599354.185837685,5,5,0.0,4373279.420525922,682810.6940969037,0
Series A,ClimateTech,Europe,4786022.16778933,15431417.35769422,12,10,447484.2811921217,16997263.598667372,5313051.314832054,0
Pre-Seed,EdTech,US,1441902.8879551096,7614952.363133095,5,3,0.0,6951688.106369855,1671465.3602489908,0
Seed,FinTech,Europe,2332968.8392023025,12856450.14027822,10,3,1232587.2678592992,16345170.386545256,2520335.195623496,0
Series B,HealthTech,US,2115485.297035703,11487090.38601171,11,6,1042646.619348326,17478484.259236448,2054298.3450676915,0
Pre-Seed,ClimateTech,Asia,369559.5539346775,1818675.7749140356,7,5,0.0,7145960.850310872,320803.12561234005,0
Seed,EdTech,US,1881467.1111516547,6985832.295119623,8,3,709849.1153411616,5667539.204350116,1350615.3925395715,0
Seed,ClimateTech,Europe,1712636.7301914326,12345741.92049501,12,5,2492571.5825884487,2161173.928649626,1032622.8339189003,0
Seed,HealthTech,LATAM,718067.4005746474,2571180.208007111,8,10,409269.6896497771,35534407.11572856,778065.5030976967,0
Seed,HealthTech,Asia,9453637.086809294,61874703.4553112,9,7,86772.74560481444,5853079.837689341,0.0,1
Series A,HealthTech,Europe,5888530.80326132,34429573.05979155,8,5,802359.0756545304,10886039.31180512,6530253.53776159,0
Idea,AI/SaaS,Europe,825225.8751545831,2713924.675769175,4,3,0.0,42897287.53781365,848526.0081800345,0
Seed,HealthTech,Europe,12883496.11460763,67073008.34657864,10,12,116998.85348011776,4706519.142577618,8750899.52443291,0
Idea,E-commerce,US,1105544.4283117924,8453309.979107408,6,2,0.0,27805635.25639942,0.0,1
Pre-Seed,AI/SaaS,US,2477126.2446278534,19289976.813014645,8,1,0.0,13396021.744158382,0.0,1
Series A,FinTech,US,5497780.415183776,40805193.54839068,11,6,781471.9996322845,2013388.70478174,4969600.212282216,0
Seed,ClimateTech,LATAM,526743.890507601,1782664.814340075,9,4,65224.2959772841,4827407.717726917,366984.1273575208,0
Series A,E-commerce,US,8871499.553099528,50965897.718708105,11,3,242051.2332903461,14173304.323507734,0.0,1
Series A,HealthTech,Europe,2517828.706495015,16147052.295205748,11,9,243750.18737531808,6404901.083202703,1354673.483119083,0
Series A,FinTech,US,2558199.267990156,11207081.60726342,11,3,1114270.57206055,4440581.203058435,1461562.3567900497,0
Pre-Seed,AI/SaaS,Europe,1146480.4786451426,8639875.86418348,9,6,0.0,16037885.097421348,0.0,1
Seed,ClimateTech,Europe,2142797.1977176243,13568035.577229276,9,4,396512.5168732852,12315140.693209026,1720474.1448824664,0
Seed,HealthTech,Europe,1816672.2467084168,12451295.527628977,9,8,86426.71613434637,15222862.582790593,1845680.1157743009,0
Series B,EdTech,US,6185209.652562542,40612299.45145609,13,5,561334.0621756419,2622778.284464213,3631076.0616614646,0
Seed,FinTech,Europe,896567.6985367032,4170128.138750136,8,6,507250.9361581623,6239592.552853292,0.0,1
Seed,HealthTech,Asia,1567117.041025879,11025887.109892178,8,3,183422.1136617396,3297629.1850714977,1112434.2814721605,0
Seed,EdTech,Asia,709795.5955476286,2213124.7965553785,9,5,415442.866525219,8181582.846531237,0.0,1
Seed,HealthTech,Europe,627668.7462684315,4990622.11271526,9,10,66133.46428038033,9039421.788591688,0.0,1
Pre-Seed,AI/SaaS,US,1291431.9288271454,6103256.9846403375,6,4,0.0,12904500.69484821,1216070.7455598796,0
Seed,E-commerce,US,4093489.3304594182,19531424.56889091,7,13,328838.57350678416,10303084.0045375,3935397.2789201736,0
Idea,EdTech,LATAM,615136.9518059342,2643679.562263887,5,3,0.0,12493383.785113825,0.0,1
Pre-Seed,E-commerce,Europe,1004756.9843626762,4256855.5022565,9,4,0.0,22753430.56955872,753487.9010647439,0
Series B,HealthTech,Asia,7238961.455273779,50972258.12677086,10,4,21470106.93943844,2755956.792164709,6839447.168186443,0
Idea,E-commerce,LATAM,638189.9605569975,3054125.574511278,6,5,0.0,8988157.668715242,336486.2785100039,0
Idea,FinTech,US,305061.78294134187,1951708.910669671,4,5,0.0,2760038.144860191,0.0,1
Series B,HealthTech,Asia,18634003.20960088,100282217.54470392,12,7,48150.19680228348,10419176.05177708,20219349.721146967,0
Pre-Seed,HealthTech,Asia,2079848.9518877943,11602015.22967152,6,2,0.0,7773593.392712955,0.0,1
Seed,ClimateTech,US,3160738.4527141084,17739805.464601483,7,2,117002.62731852444,15302069.31196257,0.0,1
Series A,HealthTech,US,1774432.7563840232,8209369.975666056,12,9,871747.8672251389,37570579.67932832,1856841.321242569,0
Seed,AI/SaaS,Europe,2592595.741147709,14024225.096267892,9,7,281195.3287405929,6690198.613983726,2754536.208678286,0
Idea,HealthTech,Europe,456443.6369934984,3335897.5614250475,6,5,0.0,5423204.586204609,0.0,1
Seed,FinTech,US,4896261.3582802,24168858.511616506,2,3,529281.0581746048,24114328.527200807,0.0,1
Idea,AI/SaaS,Europe,737125.9810115,4204325.434358591,8,3,0.0,10321412.8879,0.0,1
Seed,HealthTech,Asia,2328997.621297845,14820611.230655842,7,5,704498.844067467,9396026.819152884,1664636.1900387586,0
Pre-Seed,FinTech,LATAM,633501.5023380548,3264243.8547128933,7,3,0.0,18972424.698682275,0.0,1
Idea,E-commerce,US,665331.009052331,4229772.524858758,6,4,0.0,4110243.6174377166,0.0,1
Series B,HealthTech,Europe,3551062.200370726,28001976.140170533,13,7,254477.47985401243,34778653.592441365,3141711.331871824,0
Seed,HealthTech,Europe,2155364.3313613366,7295686.981879176,7,4,248076.40694930812,23021269.73845077,1549782.7712357908,0
Pre-Seed,EdTech,US,2015596.6985147628,7801182.345692467,6,3,0.0,3970554.920039167,0.0,1
Seed,E-commerce,Europe,1688627.2507366636,9987605.875630723,8,8,317932.7081204504,7729205.189036868,1728933.1701900158,0
Series B,EdTech,Asia,7207101.928039165,37418731.95813305,15,8,246022.6787973987,1978888.1248034027,6615882.017595299,0
Seed,E-commerce,LATAM,2637952.8736149264,18768821.088087164,9,7,644658.6129245108,7516032.355104408,2313042.444476545,0
Pre-Seed,EdTech,LATAM,738647.6060666791,5442809.534990981,9,7,0.0,12896509.0087723,674505.5615262635,0
Seed,AI/SaaS,Europe,5075887.523421904,38757208.93953735,9,4,223466.05439205893,16723032.467369938,0.0,1
Seed,AI/SaaS,Asia,2515635.230084466,7647083.376074942,8,6,709916.5286672496,13923959.78705492,1915565.9763515976,0
Pre-Seed,FinTech,US,1515646.1823943742,11394313.07397671,7,5,0.0,1582821.2954515903,1245000.9775695356,0
Seed,E-commerce,US,287005.49006088666,1923835.32425934,8,9,996524.2971817848,38537337.00901304,186073.13033480415,0
Pre-Seed,E-commerce,US,2294527.567025085,13444924.289341625,5,8,0.0,53171850.94361807,2665277.1755735907,0
Seed,ClimateTech,US,5225864.029942719,24488570.65937428,9,6,145376.12404227193,72321677.75492553,5132018.698007972,0
Pre-Seed,FinTech,Europe,455192.5983278644,2952550.8437299714,6,3,0.0,32617968.437713705,0.0,1
Seed,AI/SaaS,Asia,1861536.3163789385,6289197.906772575,11,6,534620.3170416137,9206445.353967609,1775575.4189936242,0
Idea,HealthTech,Europe,351675.26357585134,2337294.892841672,4,4,0.0,14148879.831072465,0.0,1
Series A,FinTech,US,3439655.6584282718,21188084.17822165,11,6,273637.5612890249,15171358.334122568,3314929.488915053,0
Pre-Seed,E-commerce,Europe,521386.3944547724,3931849.068687159,8,7,0.0,28158882.61945616,375230.7168437503,0
Pre-Seed,AI/SaaS,Asia,1310790.7638561018,8820005.498605628,8,6,0.0,32753953.220708493,0.0,1
Series A,ClimateTech,US,21574042.06394232,93794427.46095157,12,8,189144.07106941755,4157649.8746318407,11257429.318695942,0
Pre-Seed,E-commerce,US,2706501.2449521963,20142649.83286524,7,7,0.0,21616327.4014526,2770383.647629638,0
Series A,ClimateTech,US,8940716.879174318,62882969.914707474,9,5,469444.33159155655,7979629.760948978,8013801.32347616,0
Pre-Seed,ClimateTech,US,2523822.292141206,8062830.049064102,8,11,0.0,13255078.221790452,0.0,1
Series B,EdTech,Europe,2605795.722278039,10574786.762703184,15,8,1127608.9841392045,42715386.48095079,2486052.294334768,0
Pre-Seed,AI/SaaS,Europe,993947.6216503415,7008615.840809857,4,4,0.0,6508829.165574443,0.0,1
Idea,AI/SaaS,Europe,795266.8883596305,6206740.541129718,5,3,0.0,2364831.615544106,0.0,1
Seed,EdTech,US,2891132.093212395,9424936.699677512,8,8,207209.9282326619,4340738.8137130495,3463768.594491522,0
Idea,HealthTech,Europe,1194494.0412493795,7185117.899492259,6,3,0.0,10076634.439598678,0.0,1
Seed,HealthTech,LATAM,1716672.5280838578,5759735.797038191,7,4,251945.33744531215,7324987.770453697,0.0,1
Series A,EdTech,US,2582480.4982466046,11613200.1152065,13,5,885264.5045235853,5689093.947673311,1910652.3352225856,0
Series A,E-commerce,Europe,5922899.396150632,41572975.690789394,7,6,450454.5843844028,4563293.385188627,6371066.523470067,0
Idea,HealthTech,Europe,869189.683391763,5507239.450779731,8,8,0.0,34696771.16814636,728577.9168190778,0
Series A,FinTech,Asia,3763373.2828231,18944911.444598727,9,7,68481.55832237366,3313067.114375173,2862125.461175782,0
Seed,E-commerce,US,3148719.361160573,22902264.59027767,9,9,261292.7446381141,6963248.962763555,2837802.960021105,0
Pre-Seed,EdTech,Europe,1662933.3000632734,6822219.31255513,7,2,0.0,6946532.853673362,0.0,1
Series A,EdTech,US,2317390.8577931696,13375255.549221864,9,9,1025576.1324078888,19757689.510131795,2392235.6724522216,0
Seed,E-commerce,LATAM,1371789.2950501847,9791509.976128772,11,2,374896.1452693018,1616132.99918787,0.0,1
Series B,HealthTech,Asia,8591962.075280055,37738935.93594578,11,14,718859.2771237533,5310387.902331214,5563699.39095966,0
Seed,ClimateTech,Europe,1753466.490213065,5840491.677838249,10,4,267921.65494030097,8441321.737778476,0.0,1
Seed,AI/SaaS,Europe,6515184.691980355,25810226.529714186,11,8,41458.5190713632,14121459.661112748,6880924.829776015,0
Pre-Seed,E-commerce,US,314649.28156587825,1484179.7403949946,6,5,0.0,3699392.8797347727,0.0,1
Seed,HealthTech,US,2443334.573085106,7391411.468130134,6,5,764483.5164245338,6478698.781256714,0.0,1
Series A,HealthTech,Asia,5932073.576243995,44762693.529066645,13,6,161509.424544758,10675386.289002972,5012446.212805896,0
Pre-Seed,EdTech,Europe,3287770.4506012504,20256580.902634397,3,2,0.0,26669903.07562172,2981981.410745297,0
Idea,AI/SaaS,Europe,993283.7650578648,4964028.908002857,5,1,0.0,12908195.62286975,897730.0325319681,0
Seed,AI/SaaS,LATAM,2826237.512790428,11512620.39332512,9,4,165000.90828550988,10921042.951660354,3269450.934204158,0
Series A,HealthTech,Asia,1662635.875377441,5252087.866920366,9,2,1041194.5546433664,2666025.129876847,0.0,1
Seed,FinTech,Europe,2165558.314403007,10386112.386382276,9,6,502090.5677740867,2635340.9901680723,0.0,1
Pre-Seed,ClimateTech,Europe,136536.04173415495,929730.9883315616,5,1,0.0,18211786.473921407,0.0,1
Idea,FinTech,Europe,525959.6882302723,2234729.508135679,5,6,0.0,30713097.130704038,518246.2830233121,0
Seed,EdTech,Europe,2081900.2582564023,10442892.432893218,9,4,499201.1811621976,35603313.26273167,0.0,1
Idea,E-commerce,US,326533.1421818434,1235622.1535511904,2,6,0.0,7033505.777776736,0.0,1
Series B,AI/SaaS,US,3103442.475279763,10728198.816661594,11,7,839492.3482955607,6598344.926505506,2494048.6370144035,0
